지점명,시각 (YYYY-MM-DD),월평균 일최고기온 (°C),월평균 일최저기온 (°C),월 총 강수량 (mm)
Geraldton Airport,2021-10-01,24,10.4,46
Geraldton Airport,2021-11-01,28.2,13,1.4
Geraldton Airport,2021-12-01,32.2,17.2,1
Geraldton Airport,2022-01-01,34.5,18.9,0
Geraldton Airport,2022-02-01,35.2,19.9,0
Geraldton Airport,2022-03-01,32.9,18.4,23.2
Geraldton Airport,2022-04-01,27.7,16.1,103.8
Geraldton Airport,2022-05-01,24.7,12.6,32.2
Geraldton Airport,2022-06-01,22.6,11,90.4
Geraldton Airport,2022-07-01,21.3,9.1,88
Geraldton Airport,2022-08-01,20.3,8.6,137.2
Geraldton Airport,2022-09-01,22.6,9.4,53.2
Geraldton Airport,2022-10-01,23.8,9.3,22
Geraldton Airport,2022-11-01,27.7,12.3,14.2
Geraldton Airport,2022-12-01,31.7,16.7,2.4
Geraldton Airport,2023-01-01,33,18.8,0
Geraldton Airport,2023-02-01,32.8,19.5,0
Geraldton Airport,2023-03-01,31.1,17.9,4
Geraldton Airport,2023-04-01,26.7,13.2,3.4
Geraldton Airport,2023-05-01,26.5,12.3,30.6
Geraldton Airport,2023-06-01,19.4,9,104.8
Geraldton Airport,2023-07-01,20,7.8,36.8
Geraldton Airport,2023-08-01,22.8,7.9,31.2
Geraldton Airport,2023-09-01,24.4,10.6,13.4
Geraldton Airport,2023-10-01,29.5,12.1,1.2
Geraldton Airport,2023-11-01,30.6,16.7,6.4
Geraldton Airport,2023-12-01,32.5,17.9,0.4
Geraldton Airport,2024-01-01,31.7,19.3,0
Geraldton Airport,2024-02-01,37.3,19.4,17.4
Geraldton Airport,2024-03-01,33,18.9,2.2
Geraldton Airport,2024-04-01,32.3,16.9,0.6
Geraldton Airport,2024-05-01,28.1,14.2,8.4
Geraldton Airport,2024-06-01,21.5,12.3,148.2
Geraldton Airport,2024-07-01,20.3,10.2,157
Geraldton Airport,2024-08-01,20.8,11.1,81.6
Geraldton Airport,2024-09-01,24.6,9.8,16.4
Geraldton Airport,2024-10-01,26,12.6,36.4
Geraldton Airport,2024-11-01,,,0
Geraldton Airport,2024-12-01,,,0
