지점명,시각 (YYYY-MM-DD),월평균 일 최고기온 (°C),월평균 일 최저기온 (°C),월별 일 최고기온 (°C),월별 일 최저기온(°C),월 총 강수량 (mm),월평균 일 태양복사량 (MJ/m^2)
VIC_Snowtown,2020-11-01,31.5,11.3,43.3,2,10.6,25.6
VIC_Snowtown,2020-12-01,28.6,11.7,38,6.1,46.8,26.3
VIC_Snowtown,2021-01-01,31.7,13.9,43.8,9.5,8.6,26.5
VIC_Snowtown,2021-02-01,30.3,13.4,39.4,6.8,6.6,23.9
VIC_Snowtown,2021-03-01,28.5,11.7,34,5.1,8,18.6
VIC_Snowtown,2021-04-01,25.2,8.5,34.4,2.5,4.8,14.2
VIC_Snowtown,2021-05-01,20.1,7.3,29.5,0.3,23.8,10.6
VIC_Snowtown,2021-06-01,16.4,7.3,22.4,2.6,50.4,9.4
VIC_Snowtown,2021-07-01,15.3,5.4,20.7,0.2,66.2,10.4
VIC_Snowtown,2021-08-01,17,4.5,25.3,-1.5,34.6,13.5
VIC_Snowtown,2021-09-01,21.7,4.3,30.9,-0.7,8.2,16.9
VIC_Snowtown,2021-10-01,24.2,6.3,34.8,-0.3,13,19.7
VIC_Snowtown,2021-11-01,25.5,10.5,35.5,4,73.4,20.1
VIC_Snowtown,2021-12-01,30.7,11.2,40,4.6,4,28.6
VIC_Snowtown,2022-01-01,31.8,16.3,40.8,8,41,23.7
VIC_Snowtown,2022-02-01,30.4,13.6,37.9,8.5,10.2,23.3
VIC_Snowtown,2022-03-01,29.9,13,36.8,7.4,0.8,19.7
VIC_Snowtown,2022-04-01,25.7,11,32.4,5.4,3.8,13.2
VIC_Snowtown,2022-05-01,19.8,6.6,24.2,0.2,39.4,11.2
VIC_Snowtown,2022-06-01,15.8,6.9,19.1,1.5,38.6,9.4
VIC_Snowtown,2022-07-01,15.1,3.9,21.9,-1.3,6.4,10.1
VIC_Snowtown,2022-08-01,16.4,6.2,22.1,0.4,46.4,12.4
VIC_Snowtown,2022-09-01,17.6,5.3,21.5,-0.2,65,15.9
VIC_Snowtown,2022-10-01,21.7,9.2,28.2,1,92.8,17.5
VIC_Snowtown,2022-11-01,24.8,9.6,34.9,4.1,56.8,22.3
VIC_Snowtown,2022-12-01,30.9,12.1,42.6,5.9,26,27
VIC_Snowtown,2023-01-01,32.9,14.3,42.5,7.7,8.2,25.8
VIC_Snowtown,2023-02-01,32.1,13.1,41.2,6.5,5,24.7
VIC_Snowtown,2023-03-01,28.2,11.4,37.5,6.3,9.2,18.3
VIC_Snowtown,2023-04-01,24,8.5,30.8,3.4,23.6,14.2
VIC_Snowtown,2023-05-01,19,6.6,25.8,0,30.2,10.5
VIC_Snowtown,2023-06-01,17,7.5,26.2,2.9,65,9.3
VIC_Snowtown,2023-07-01,15.5,4.7,18.3,-1.5,15.2,10.4
VIC_Snowtown,2023-08-01,18,4.2,26.1,-1.8,42.8,13.1
VIC_Snowtown,2023-09-01,23.7,5.3,33.5,-1,-99.9,19.1
VIC_Snowtown,2023-10-01,24.3,6,34.6,-0.2,6,20.7
VIC_Snowtown,2023-11-01,27.6,9.2,42.3,2.6,25.4,22.7
VIC_Snowtown,2023-12-01,28,13,40.8,6.1,80.6,24.1
VIC_Snowtown,2024-01-01,32.2,14.5,44,7.4,13.2,26.8
VIC_Snowtown,2024-02-01,33.6,12.9,42.5,7,0,25.1
VIC_Snowtown,2024-03-01,32.1,13.2,41.2,4.7,0.4,19.3
VIC_Snowtown,2024-04-01,22.5,6.5,28.5,1,1,14.4
VIC_Snowtown,2024-05-01,21.4,4.2,24.9,-2.2,9.2,12
VIC_Snowtown,2024-06-01,16,5.1,22,-0.3,43.6,9.2
VIC_Snowtown,2024-07-01,15.7,5,21.5,-1.3,35.8,10.9
VIC_Snowtown,2024-08-01,20,7.1,26.5,1.7,20.8,13.5
VIC_Snowtown,2024-09-01,21.3,4.7,31.3,-2,7,17.4
VIC_Snowtown,2024-10-01,26.9,8.6,33.9,1.8,40.2,21.6
VIC_Snowtown,2024-11-01,-99.9,-99.9,-99.9,-99.9,-99.9,23.2
VIC_Snowtown,2024-12-01,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
