지점,지점명,시간(UTC),월평균 기온 (°C),월평균 일최고기온 (°C),월평균 일최저기온 (°C),최대 일강수량 (mm),일평균 기온의 월표준편차
72757, 노스 다코타,2012-12-31 0:00,-10.7,-7.2,-14.9,2.5,6
72757, 노스 다코타,2013-01-31 0:00,-12.8,-7.2,-18.5,5,6.4
72757, 노스 다코타,2013-02-28 0:00,-11.7,-6.8,-16.6,2.7,5.6
72757, 노스 다코타,2013-03-31 0:00,-10.6,-3.9,-15.8,8.6,4.5
72757, 노스 다코타,2013-04-30 0:00,-0.5,4.2,-4.1,19.3,4.4
72757, 노스 다코타,2013-05-31 0:00,11.6,18.8,5.8,36,5.3
72757, 노스 다코타,2013-06-30 0:00,18.7,24.9,12.7,37.8,4.2
72757, 노스 다코타,2013-07-31 0:00,21,27.3,13.9,26.4,3.3
72757, 노스 다코타,2013-08-31 0:00,19.7,27.8,12.4,2.7,4.3
72757, 노스 다코타,2013-09-30 0:00,16.7,23.1,9.8,9.6,3.7
72757, 노스 다코타,2013-10-31 0:00,5.9,11.1,0.6,17.2,4.9
72757, 노스 다코타,2013-11-30 0:00,-4.1,1.6,-10,1.2,6.5
72757, 노스 다코타,2013-12-31 0:00,-17.1,-13,-22.6,3.8,7.7
72757, 노스 다코타,2014-01-31 0:00,-17.2,-10.1,-24.3,5.3,8.7
72757, 노스 다코타,2014-02-28 0:00,-17.4,-11.7,-23.4,6.6,5.7
72757, 노스 다코타,2014-03-31 0:00,-7.8,-2.3,-13.5,6.8,7.8
72757, 노스 다코타,2014-04-30 0:00,3,8.5,-2.6,33,5.8
72757, 노스 다코타,2014-05-31 0:00,12.3,18.8,6.4,12.9,6.4
72757, 노스 다코타,2014-06-30 0:00,18.5,23.9,13.2,39.8,2.6
72757, 노스 다코타,2014-07-31 0:00,19.7,26.1,13.3,70.8,3.1
72757, 노스 다코타,2014-08-31 0:00,20.1,26.2,14,29.2,2.6
72757, 노스 다코타,2014-09-30 0:00,15.7,22.2,8.4,11.9,4.2
72757, 노스 다코타,2014-10-31 0:00,7.9,14.2,1.5,5,4.5
72757, 노스 다코타,2014-11-30 0:00,-5.7,-1.4,-11.1,1.5,7.4
72757, 노스 다코타,2014-12-31 0:00,-7.7,-3.8,-11.9,3,7.1
72757, 노스 다코타,2015-01-31 0:00,-10.5,-5.5,-16.2,3.3,8.1
72757, 노스 다코타,2015-02-28 0:00,-15,-9.6,-21.4,5,5.8
72757, 노스 다코타,2015-03-31 0:00,-0.5,6.1,-7.3,2,7.7
72757, 노스 다코타,2015-04-30 0:00,6.9,15,-1.2,11.1,5.3
72757, 노스 다코타,2015-05-31 0:00,11.6,18.6,4.7,40.1,5.1
72757, 노스 다코타,2015-06-30 0:00,18.4,25,11.7,17.7,2.8
72757, 노스 다코타,2015-07-31 0:00,21.5,27.7,15.2,34.5,2.8
72757, 노스 다코타,2015-08-31 0:00,19.7,27.1,12.3,44.7,3.8
72757, 노스 다코타,2015-09-30 0:00,16.9,24.2,9.6,17.7,4.7
72757, 노스 다코타,2015-10-31 0:00,9,15.7,2.2,14.2,4.1
72757, 노스 다코타,2015-11-30 0:00,1.2,6,-4.3,20.5,5.3
72757, 노스 다코타,2015-12-31 0:00,-6,-2.5,-10.9,6.6,6.2
72757, 노스 다코타,2016-01-31 0:00,-11.2,-7.2,-16.2,5.3,8.1
72757, 노스 다코타,2016-02-29 0:00,-5.5,-1.7,-9.9,3.3,5.9
72757, 노스 다코타,2016-03-31 0:00,2.3,7.7,-3.1,11.1,4.4
72757, 노스 다코타,2016-04-30 0:00,4.9,10.4,-0.8,12.9,5.2
72757, 노스 다코타,2016-05-31 0:00,14.3,22.2,6.9,25.4,5.2
72757, 노스 다코타,2016-06-30 0:00,18.7,25,12.3,23.8,3.2
72757, 노스 다코타,2016-07-31 0:00,21,27.2,14.7,32.5,2.6
72757, 노스 다코타,2016-08-31 0:00,20.4,27.3,13.4,37.8,2.5
72757, 노스 다코타,2016-09-30 0:00,15.6,21.7,9.5,75.1,3.5
72757, 노스 다코타,2016-10-31 0:00,8.3,13.7,3,16.2,4.6
72757, 노스 다코타,2016-11-30 0:00,5.3,10,-0.2,14.9,4.8
72757, 노스 다코타,2016-12-31 0:00,-10.5,-6.1,-15,5.3,8.4
72757, 노스 다코타,2017-01-31 0:00,-10.9,-7.1,-15.2,2.2,9
72757, 노스 다코타,2017-02-28 0:00,-6.4,-2.1,-11.4,4.5,7.1
72757, 노스 다코타,2017-03-31 0:00,-3.2,2.4,-7.4,11.6,7.1
72757, 노스 다코타,2017-04-30 0:00,6.7,12.8,0.5,14.9,4.2
72757, 노스 다코타,2017-05-31 0:00,13.5,20.7,6.2,7.1,3
72757, 노스 다코타,2017-06-30 0:00,19.2,26,12.4,81.5,3.1
72757, 노스 다코타,2017-07-31 0:00,21.9,28.9,14.8,9.3,2.6
72757, 노스 다코타,2017-08-31 0:00,19.2,26.6,11.7,12.1,1.6
72757, 노스 다코타,2017-09-30 0:00,15.6,22.2,9,49.7,4.2
72757, 노스 다코타,2017-10-31 0:00,8.1,14.9,1.3,1.5,5.5
72757, 노스 다코타,2017-11-30 0:00,-3.7,0.4,-9.3,8.3,5.2
72757, 노스 다코타,2017-12-31 0:00,-11,-6.4,-16.5,13.4,9.1
72757, 노스 다코타,2018-01-31 0:00,-12,-7.6,-16.8,6.8,8.6
72757, 노스 다코타,2018-02-28 0:00,-14.1,-8.8,-20.3,4,5.3
72757, 노스 다코타,2018-03-31 0:00,-4.2,0.1,-8.6,11.1,4.5
72757, 노스 다코타,2018-04-30 0:00,0.7,6.7,-5.4,5,7.4
72757, 노스 다코타,2018-05-31 0:00,15.6,24.3,6.8,14.2,5.7
72757, 노스 다코타,2018-06-30 0:00,20.1,27.1,13.1,34,2.7
72757, 노스 다코타,2018-07-31 0:00,21.1,28.2,14.1,26.6,2.3
72757, 노스 다코타,2018-08-31 0:00,19.8,27.5,12.1,28.7,3.6
72757, 노스 다코타,2018-09-30 0:00,12.4,19.6,6.3,25.4,5.6
72757, 노스 다코타,2018-10-31 0:00,3.4,8.4,-1.8,14.4,3.8
72757, 노스 다코타,2018-11-30 0:00,-6.9,-3.1,-10.9,4.3,5.3
72757, 노스 다코타,2018-12-31 0:00,-9.3,-4.7,-14.1,5.8,5.5
72757, 노스 다코타,2019-01-31 0:00,-16.6,-11.3,-22,4.3,8.8
72757, 노스 다코타,2019-02-28 0:00,-19.1,-13.9,-24.4,5.3,4.6
72757, 노스 다코타,2019-03-31 0:00,-8,-2.7,-13.4,15.4,7.4
72757, 노스 다코타,2019-04-30 0:00,5,10.1,-0.2,12.1,4.6
72757, 노스 다코타,2019-05-31 0:00,10.7,17.8,3.5,26.4,4.5
72757, 노스 다코타,2019-06-30 0:00,18.7,25.9,11.4,19.5,3.8
72757, 노스 다코타,2019-07-31 0:00,21.3,28.4,14.1,33.2,2.5
72757, 노스 다코타,2019-08-31 0:00,18.8,25.6,12.7,20.3,2.6
72757, 노스 다코타,2019-09-30 0:00,15.2,20.4,9.9,96.7,4.7
72757, 노스 다코타,2019-10-31 0:00,4.9,8,0.6,27.1,4.3
72757, 노스 다코타,2019-11-30 0:00,-3.5,-0.1,-7.7,8.1,4.6
72757, 노스 다코타,2019-12-31 0:00,-12.5,-6.8,-18.4,21.3,6.5
72757, 노스 다코타,2020-01-31 0:00,-12.2,-7.4,-17.7,9.1,7
72757, 노스 다코타,2020-02-29 0:00,-12.2,-5.7,-18.8,1.7,6.4
72757, 노스 다코타,2020-03-31 0:00,-5,0.6,-10.1,3.5,4.4
72757, 노스 다코타,2020-04-30 0:00,1.8,8.2,-4.2,11.9,6.9
72757, 노스 다코타,2020-05-31 0:00,11.1,18.2,4.2,10.1,5.7
72757, 노스 다코타,2020-06-30 0:00,20.1,27.7,12.9,15.7,4.2
72757, 노스 다코타,2020-07-31 0:00,22.7,28.7,16.5,40.3,2.7
72757, 노스 다코타,2020-08-31 0:00,20.4,27,13.4,38.8,2.3
72757, 노스 다코타,2020-09-30 0:00,14,21,6.7,3,3.5
72757, 노스 다코타,2020-10-31 0:00,3.9,9.6,-2.5,5,6.3
72757, 노스 다코타,2020-11-30 0:00,-0.6,5.7,-7.4,0.7,6.1
72757, 노스 다코타,2020-12-31 0:00,-5.9,-0.4,-11.7,4.5,5.8
72757, 노스 다코타,2021-01-31 0:00,-8.5,-3.8,-13.2,2.5,5.7
72757, 노스 다코타,2021-02-28 0:00,-14.9,-9.9,-19.8,2.5,9.9
72757, 노스 다코타,2021-03-31 0:00,1.4,9.1,-6.6,3.3,5
72757, 노스 다코타,2021-04-30 0:00,4.9,12.7,-2.8,12.7,4.4
72757, 노스 다코타,2021-05-31 0:00,11.7,20.3,3.2,19,5.7
72757, 노스 다코타,2021-06-30 0:00,20.4,29.3,12.1,30.9,3.3
72757, 노스 다코타,2021-07-31 0:00,22.8,30.3,15.2,8.3,2.8
72757, 노스 다코타,2021-08-31 0:00,21,28.1,13.7,43.9,3.8
72757, 노스 다코타,2021-09-30 0:00,17.2,24.5,9.9,18.2,3.1
72757, 노스 다코타,2021-10-31 0:00,10,15.7,3.7,38,5.9
72757, 노스 다코타,2021-11-30 0:00,-0.9,3.8,-5.7,15.2,4.8
72757, 노스 다코타,2021-12-31 0:00,-10.9,-5.9,-17.7,7.6,7.6
72757, 노스 다코타,2022-01-31 0:00,-17.5,-11,-23.8,5,7.4
72757, 노스 다코타,2022-02-28 0:00,-17.3,-10.5,-23.8,6.8,6.5
72757, 노스 다코타,2022-03-31 0:00,-5.6,-0.4,-10.8,3.8,7.2
72757, 노스 다코타,2022-04-30 0:00,-0.3,4.1,-4.3,43.6,4.4
72757, 노스 다코타,2022-05-31 0:00,12.7,18.7,6.6,43.9,4.6
72757, 노스 다코타,2022-06-30 0:00,19.5,26.7,11.9,30.4,4.5
72757, 노스 다코타,2022-07-31 0:00,21.8,28.2,15.1,35.8,2.8
72757, 노스 다코타,2022-08-31 0:00,20.6,27.5,13.7,21,2.4
72757, 노스 다코타,2022-09-30 0:00,15.7,23,8.3,4,3.6
72757, 노스 다코타,2022-10-31 0:00,8.2,15.6,0.7,1.5,5.8
72757, 노스 다코타,2022-11-30 0:00,-3.1,0.9,-8.1,6.3,5.8
72757, 노스 다코타,2022-12-31 0:00,-13.2,-8.9,-17.2,14.4,8.8
72757, 노스 다코타,2023-01-31 0:00,-12.2,-8,-17.2,2,5.9
72757, 노스 다코타,2023-02-28 0:00,-12.5,-5.9,-19.1,6,7.6
72757, 노스 다코타,2023-05-31 0:00,16.9,25,8.7,15.2,5.1
72757, 노스 다코타,2023-06-30 0:00,22.1,28.8,15.2,27.1,3.7
72757, 노스 다코타,2023-07-31 0:00,19.7,27.2,12.1,24.1,3.4
72757, 노스 다코타,2023-08-31 0:00,20,27,13.3,6,2.9
72757, 노스 다코타,2023-09-30 0:00,17.7,24.9,10.2,17.5,3.9
72757, 노스 다코타,2023-10-31 0:00,8,13,2,14.7,7.4
72757, 노스 다코타,2023-11-30 0:00,-0.6,4.6,-5.9,1,4.9
72757, 노스 다코타,2023-12-31 0:00,-2.9,0.8,-7.1,10.9,3.7
72757, 노스 다코타,2024-01-31 0:00,-10.4,-6.6,-13.5,3,7.7
72757, 노스 다코타,2024-02-29 0:00,-2.9,1.2,-7.5,2.7,5.1
72757, 노스 다코타,2024-03-31 0:00,-2.5,2.7,-7.7,1.7,4.6
72757, 노스 다코타,2024-04-30 0:00,6.6,13.6,-0.5,8.1,3.9
72757, 노스 다코타,2024-05-31 0:00,13.3,19.9,6.9,23.8,3
72757, 노스 다코타,2024-06-30 0:00,18.1,24.7,11.3,54.1,2.6
72757, 노스 다코타,2024-07-31 0:00,22.9,29.2,16.7,30.9,2.2
72757, 노스 다코타,2024-08-31 0:00,20.8,26.9,14.3,59.9,3.3
72757, 노스 다코타,2024-09-30 0:00,19.5,26.7,12.2,3.3,3.3
