瘤痢,瘤痢疙,矫埃(UTC),岿乞闭 扁柯 (∑C),岿乞闭 老弥绊扁柯 (∑C),岿乞闭 老弥历扁柯 (∑C),弥措 老碍荐樊 (mm),老乞闭 扁柯狼 岿钎霖祈瞒
94403,力饿瓢 ,2023-08-31 0:00,15.4,22.8,7.9,19.8,2.8
94403,力饿瓢 ,2023-09-30 0:00,17.5,24.4,10.6,4.4,2.1
94403,力饿瓢 ,2023-10-31 0:00,20.8,29.5,12.1,1.2,3.2
94403,力饿瓢 ,2023-11-30 0:00,23.7,30.6,16.7,,2.4
94403,力饿瓢 ,2023-12-31 0:00,25.2,32.5,17.9,0.4,2.1
94403,力饿瓢 ,2024-01-31 0:00,25.3,31.2,19.3,0,1.9
94403,力饿瓢 ,2024-02-29 0:00,28.4,37.3,19.4,,3.9
94403,力饿瓢 ,2024-03-31 0:00,25.9,33,18.9,,3.1
94403,力饿瓢 ,2024-04-30 0:00,24.5,32.3,16.9,0.6,2.8
94403,力饿瓢 ,2024-05-31 0:00,21,28.1,14.2,,2.8
94403,力饿瓢 ,2024-06-30 0:00,16.9,21.5,12.3,29,2.3
94403,力饿瓢 ,2024-07-31 0:00,15.2,20.3,10.2,,1.8
94403,力饿瓢 ,2024-08-31 0:00,16,20.8,11.1,27,1.8
94403,力饿瓢 ,2024-09-30 0:00,17.2,24.6,9.8,6.6,2.2
94403,力饿瓢 ,2024-10-31 0:00,19.3,26,12.6,,2.5
